#mpa_vJun23_CHOCOPhlAnSGB_202403
#/usr/local/bin/metaphlan --input_type bowtie2out --index latest --bowtie2db metaphlan --nproc 1 --unclassified_estimation -o metaphlan_unknown_list.tsv /dev/fd/63
#128852226 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	16.33806	
k__Bacteria	2	83.66194480444724	
k__Bacteria|p__Firmicutes	2|1239	58.00991249964821	
k__Bacteria|p__Bacteroidota	2|976	21.781646681866732	
k__Bacteria|p__Proteobacteria	2|1224	2.412216488352147	
k__Bacteria|p__Actinobacteria	2|201174	1.4030610115374629	
k__Bacteria|p__Bacteria_unclassified	2|	0.05013860352130523	
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.0049527871324232765	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	48.02841501989162	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	21.781646681866732	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	8.776991361823521	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	1.8208185667239898	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	1.2168295224027634	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.6855427081166016	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.5183526776193942	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.18623148913469956	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.18375509556848793	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.1785847873795731	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.07304524400876289	
k__Bacteria|p__Firmicutes|c__CFGB1380	2|1239|	0.05651364371540411	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2||	0.05013860352130523	
k__Bacteria|p__Firmicutes|c__CFGB2834	2|1239|	0.03833390310939772	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.026537568891970665	
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.011545348383013718	
k__Bacteria|p__Firmicutes|c__CFGB1126	2|1239|	0.00972151798627677	
k__Bacteria|p__Firmicutes|c__CFGB9491	2|1239|	0.006851913279484229	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified	2|95818|	0.004827294215216606	
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.0036392945989934546	
k__Bacteria|p__Firmicutes|c__CFGB1217	2|1239|	0.003120590541205882	
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	0.00035974636265912314	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Nanosyncoccalia	2|95818|2171982	0.00012549291720667085	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	48.02569600668548	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	21.781646681866732	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	5.900702065641105	
