#mpa_vJun23_CHOCOPhlAnSGB_202403
#/usr/local/bin/metaphlan --input_type bowtie2out --index latest --bowtie2db metaphlan --nproc 1 --unclassified_estimation -o metaphlan_unknown_list.tsv /dev/fd/63
#1842375 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	0.0	
k__Bacteria	2	99.54712	
k__Archaea	2157	0.45288	
k__Bacteria|p__Firmicutes	2|1239	79.52429	
k__Bacteria|p__Verrucomicrobia	2|74201	11.10925	
k__Bacteria|p__Bacteroidota	2|976	6.92999	
k__Bacteria|p__Actinobacteria	2|201174	1.74276	
k__Archaea|p__Euryarchaeota	2157|28890	0.45288	
k__Bacteria|p__Proteobacteria	2|1224	0.24084	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	37.35752	
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	18.26027	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	11.10925	
k__Bacteria|p__Firmicutes|c__CFGB2984	2|1239|	9.04277	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	6.92999	
k__Bacteria|p__Firmicutes|c__CFGB3062	2|1239|	3.25193	
k__Bacteria|p__Firmicutes|c__CFGB1354	2|1239|	2.91906	
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	2.00432	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	1.68101	
k__Bacteria|p__Firmicutes|c__CFGB1776	2|1239|	1.5667	
k__Bacteria|p__Firmicutes|c__CFGB9989	2|1239|	0.90843	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.68648	
k__Bacteria|p__Firmicutes|c__CFGB79363	2|1239|	0.64457	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.49887	
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	0.47795	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.45288	
k__Bacteria|p__Firmicutes|c__CFGB3043	2|1239|	0.37716	
k__Bacteria|p__Firmicutes|c__CFGB2949	2|1239|	0.31605	
k__Bacteria|p__Firmicutes|c__CFGB10477	2|1239|	0.26243	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.17826	
k__Bacteria|p__Firmicutes|c__CFGB2890	2|1239|	0.1732	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.16501	
k__Bacteria|p__Firmicutes|c__CFGB2898	2|1239|	0.1278	
k__Bacteria|p__Firmicutes|c__CFGB2915	2|1239|	0.12027	
k__Bacteria|p__Firmicutes|c__CFGB3172	2|1239|	0.11586	
k__Bacteria|p__Firmicutes|c__CFGB3070	2|1239|	0.10683	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.06258	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.06175	
k__Bacteria|p__Firmicutes|c__CFGB3069	2|1239|	0.05342	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.03855	
k__Bacteria|p__Firmicutes|c__CFGB3072	2|1239|	0.02998	
k__Bacteria|p__Firmicutes|c__CFGB82363	2|1239|	0.01602	
k__Bacteria|p__Firmicutes|c__CFGB1359	2|1239|	0.00284	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	37.35752	
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765	2|1239||	18.26027	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	11.10925	
k__Bacteria|p__Firmicutes|c__CFGB2984|o__OFGB2984	2|1239||	9.04277	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	6.92999	
k__Bacteria|p__Firmicutes|c__CFGB3062|o__OFGB3062	2|1239||	3.25193	
k__Bacteria|p__Firmicutes|c__CFGB1354|o__OFGB1354	2|1239||	2.91906	
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642	2|1239||	2.00432	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	1.68101	
k__Bacteria|p__Firmicutes|c__CFGB1776|o__OFGB1776	2|1239||	1.5667	
k__Bacteria|p__Firmicutes|c__CFGB9989|o__OFGB9989	2|1239||	0.90843	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.68648	
k__Bacteria|p__Firmicutes|c__CFGB79363|o__OFGB79363	2|1239||	0.64457	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.49887	
k__Bacteria|p__Firmicutes|c__CFGB2982|o__OFGB2982	2|1239||	0.47795	
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	0.45288	
k__Bacteria|p__Firmicutes|c__CFGB3043|o__OFGB3043	2|1239||	0.37716	
k__Bacteria|p__Firmicutes|c__CFGB2949|o__OFGB2949	2|1239||	0.31605	
k__Bacteria|p__Firmicutes|c__CFGB10477|o__OFGB10477	2|1239||	0.26243	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.17826	
k__Bacteria|p__Firmicutes|c__CFGB2890|o__OFGB2890	2|1239||	0.1732	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.16501	
k__Bacteria|p__Firmicutes|c__CFGB2898|o__OFGB2898	2|1239||	0.1278	
k__Bacteria|p__Firmicutes|c__CFGB2915|o__OFGB2915	2|1239||	0.12027	
k__Bacteria|p__Firmicutes|c__CFGB3172|o__OFGB3172	2|1239||	0.11586	
k__Bacteria|p__Firmicutes|c__CFGB3070|o__OFGB3070	2|1239||	0.10683	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.06258	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.06175	
k__Bacteria|p__Firmicutes|c__CFGB3069|o__OFGB3069	2|1239||	0.05342	
k__Bacteria|p__Firmicutes|c__CFGB1292|o__OFGB1292	2|1239||	0.03855	
k__Bacteria|p__Firmicutes|c__CFGB3072|o__OFGB3072	2|1239||	0.02998	
k__Bacteria|p__Firmicutes|c__CFGB82363|o__OFGB82363	2|1239||	0.01602	
k__Bacteria|p__Firmicutes|c__CFGB1359|o__OFGB1359	2|1239||	0.00284	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	2|1239|186801|186802|216572	29.88172	
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765|f__FGB1765	2|1239|||	18.26027	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae	2|74201|203494|48461|1647988	11.10925	
k__Bacteria|p__Firmicutes|c__CFGB2984|o__OFGB2984|f__FGB2984	2|1239|||	9.04277	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	6.38541	
k__Bacteria|p__Firmicutes|c__CFGB3062|o__OFGB3062|f__FGB3062	2|1239|||	3.25193	
k__Bacteria|p__Firmicutes|c__CFGB1354|o__OFGB1354|f__FGB1354	2|1239|||	2.91906	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	2|1239|186801|186802|31979	2.32879	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_incertae_sedis	2|1239|186801|186802|538999	2.19052	
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642|f__FGB38642	2|1239|||	2.00432	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	1.7454	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	1.68101	
k__Bacteria|p__Firmicutes|c__CFGB1776|o__OFGB1776|f__FGB1776	2|1239|||	1.5667	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae	2|1239|186801|186802|186806	0.91464	
