#mpa_vJun23_CHOCOPhlAnSGB_202403
#/usr/local/bin/metaphlan --input_type bowtie2out --index latest --bowtie2db metaphlan --nproc 1 --unclassified_estimation -o metaphlan_unknown_list.tsv /dev/fd/63
#30422593 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	21.40833	
k__Bacteria	2	78.46009255464537	
k__Archaea	2157	0.13157817513579967	
k__Bacteria|p__Firmicutes	2|1239	48.07847028727779	
k__Bacteria|p__Bacteroidota	2|976	27.88410471824832	
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.7769651160016897	
k__Bacteria|p__Verrucomicrobia	2|74201	0.6510691186596533	
k__Bacteria|p__Proteobacteria	2|1224	0.5565154796046535	
k__Bacteria|p__Actinobacteria	2|201174	0.4265955887212522	
k__Archaea|p__Euryarchaeota	2157|28890	0.0925888472867552	
k__Bacteria|p__Tenericutes	2|544448	0.03970451205268546	
k__Archaea|p__Candidatus_Thermoplasmatota	2157|2283796	0.038981468681971464	
k__Bacteria|p__Synergistetes	2|508458	0.028481621472472702	
k__Bacteria|p__Bacteria_unclassified	2|	0.010216917194871554	
k__Bacteria|p__Lentisphaerae	2|256845	0.007977054579072789	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	39.36724375691567	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	27.88410471824832	
k__Bacteria|p__Firmicutes|c__CFGB73062	2|1239|	2.1428176207816296	
k__Bacteria|p__Firmicutes|c__CFGB2985	2|1239|	1.3378581516659922	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.9080167269435998	
k__Bacteria|p__Firmicutes|c__CFGB2979	2|1239|	0.7467937736085267	
k__Bacteria|p__Firmicutes|c__CFGB3012	2|1239|	0.6607280349923433	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.6510691186596533	
k__Bacteria|p__Firmicutes|c__CFGB2875	2|1239|	0.5048650336010414	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.46288922226426515	
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB2107	2|1798710|	0.4003852665328702	
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB2106	2|1798710|	0.37657199030174654	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.37276029427135215	
k__Bacteria|p__Firmicutes|c__CFGB3069	2|1239|	0.3148067962752115	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.29952071631826904	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.23899727068926457	
k__Bacteria|p__Firmicutes|c__CFGB11916	2|1239|	0.20884164663024754	
k__Bacteria|p__Firmicutes|c__CFGB2918	2|1239|	0.1976816293866186	
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.1841088478515854	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.13781049462467132	
k__Bacteria|p__Firmicutes|c__CFGB3038	2|1239|	0.10921884481317691	
k__Bacteria|p__Firmicutes|c__CFGB77241	2|1239|	0.10621664299129926	
k__Bacteria|p__Firmicutes|c__CFGB2898	2|1239|	0.10077024020972543	
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	0.09592899329277091	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.0925888472867552	
k__Bacteria|p__Firmicutes|c__CFGB3072	2|1239|	0.05723831379249964	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.053835294449900116	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.05100599430362799	
k__Bacteria|p__Firmicutes|c__CFGB72939	2|1239|	0.048294581663450534	
k__Bacteria|p__Firmicutes|c__CFGB75721	2|1239|	0.043610518087955574	
k__Bacteria|p__Tenericutes|c__CFGB1787	2|544448|	0.03970451205268546	
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata	2157|2283796|183967	0.038981468681971464	
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.03682805690397546	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.03204968332360476	
