#mpa_vJun23_CHOCOPhlAnSGB_202403
#/usr/local/bin/metaphlan --input_type bowtie2out --index latest --bowtie2db metaphlan --nproc 1 --unclassified_estimation -o metaphlan_unknown_list.tsv /dev/fd/63
#68658554 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	16.26922	
k__Bacteria	2	83.23604309323618	
k__Archaea	2157	0.49474007852699703	
k__Bacteria|p__Firmicutes	2|1239	70.94958055141294	
k__Bacteria|p__Bacteroidota	2|976	8.344785685542579	
k__Bacteria|p__Actinobacteria	2|201174	2.7192241681295464	
k__Bacteria|p__Proteobacteria	2|1224	1.0385045306010614	
k__Archaea|p__Euryarchaeota	2157|28890	0.4939446360868653	
k__Bacteria|p__Bacteria_unclassified	2|	0.06655759954323455	
k__Bacteria|p__Verrucomicrobia	2|74201	0.06124906789014476	
k__Bacteria|p__Lentisphaerae	2|256845	0.05613311703835003	
k__Archaea|p__Candidatus_Thermoplasmatota	2157|2283796	0.0007954424401317501	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	49.25696091656186	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	8.24224059539212	
k__Bacteria|p__Firmicutes|c__CFGB4806	2|1239|	3.682764528556928	
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	3.661404805769812	
k__Bacteria|p__Firmicutes|c__CFGB1354	2|1239|	2.4135565710827076	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	2.2116314143856837	
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	1.8969543850695634	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	1.611959918387833	
k__Bacteria|p__Firmicutes|c__CFGB10477	2|1239|	1.6021969090700054	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.5644008335462716	
k__Bacteria|p__Firmicutes|c__CFGB2985	2|1239|	1.4693077830981	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.5110173427755879	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.4939446360868653	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.4472647244686073	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.4458915396245903	
k__Bacteria|p__Firmicutes|c__CFGB3069	2|1239|	0.4201861891908591	
k__Bacteria|p__Firmicutes|c__CFGB3038	2|1239|	0.30961969001254586	
k__Bacteria|p__Firmicutes|c__CFGB2898	2|1239|	0.2784885848292843	
k__Bacteria|p__Firmicutes|c__CFGB75721	2|1239|	0.27677210377426315	
k__Bacteria|p__Firmicutes|c__CFGB3041	2|1239|	0.20663919978959433	
k__Bacteria|p__Firmicutes|c__CFGB2957	2|1239|	0.19196119349958424	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.18172929179599479	
k__Bacteria|p__Firmicutes|c__CFGB2840	2|1239|	0.16053703057522153	
k__Bacteria|p__Firmicutes|c__CFGB3072	2|1239|	0.14988647495577326	
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	0.13694169587741867	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.13496564939456504	
k__Bacteria|p__Firmicutes|c__CFGB1473	2|1239|	0.12783178666833084	
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.10894212198478107	
k__Bacteria|p__Firmicutes|c__CFGB9272	2|1239|	0.10347450184366491	
k__Bacteria|p__Firmicutes|c__CFGB3070	2|1239|	0.09461578498409239	
k__Bacteria|p__Firmicutes|c__CFGB1226	2|1239|	0.09452368112260344	
k__Bacteria|p__Proteobacteria|c__CFGB10055	2|1224|	0.08158727512256603	
k__Bacteria|p__Firmicutes|c__CFGB3023	2|1239|	0.07044270788240435	
k__Bacteria|p__Bacteroidota|c__CFGB667	2|976|	0.0684834075561851	
k__Bacteria|p__Firmicutes|c__CFGB3043	2|1239|	0.0683075729115244	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2||	0.06655759954323455	
k__Bacteria|p__Firmicutes|c__CFGB77241	2|1239|	0.06040338698010995	
k__Bacteria|p__Actinobacteria|c__CFGB12107	2|201174|	0.060328029275255365	
k__Bacteria|p__Firmicutes|c__CFGB72939	2|1239|	0.05753979419563565	
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria	2|256845|1313211	0.05613311703835003	
k__Bacteria|p__Firmicutes|c__CFGB4605	2|1239|	0.0534202396635849	
k__Bacteria|p__Verrucomicrobia|c__Opitutae	2|74201|414999	0.05159490859044046	
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.049870054457102145	
k__Bacteria|p__Firmicutes|c__CFGB2875	2|1239|	0.047383250196900775	
k__Bacteria|p__Firmicutes|c__CFGB2917	2|1239|	0.04615240768427586	
k__Bacteria|p__Firmicutes|c__CFGB2834	2|1239|	0.040467087506913135	
k__Bacteria|p__Firmicutes|c__CFGB1359	2|1239|	0.0365568599327918	
k__Bacteria|p__Bacteroidota|c__CFGB602	2|976|	0.029012716369015937	
k__Bacteria|p__Firmicutes|c__CFGB79291	2|1239|	0.025814200451854584	
k__Bacteria|p__Firmicutes|c__CFGB2960	2|1239|	0.024675461800718605	
k__Bacteria|p__Firmicutes|c__CFGB3022	2|1239|	0.022741280709450876	
k__Bacteria|p__Firmicutes|c__CFGB82363	2|1239|	0.02230588063695771	
k__Bacteria|p__Firmicutes|c__CFGB1217	2|1239|	0.019450660930800584	
k__Bacteria|p__Firmicutes|c__CFGB2844	2|1239|	0.018010491460246258	
k__Bacteria|p__Firmicutes|c__CFGB2890	2|1239|	0.014945944796159726	
k__Bacteria|p__Firmicutes|c__CFGB2930	2|1239|	0.012701959807156472	
k__Bacteria|p__Firmicutes|c__CFGB1814	2|1239|	0.011764175035632726	
k__Bacteria|p__Firmicutes|c__CFGB3057	2|1239|	0.011169686475113206	
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.01036587095666428	
k__Bacteria|p__Firmicutes|c__CFGB1262	2|1239|	0.010273767095175341	
k__Bacteria|p__Firmicutes|c__CFGB9491	2|1239|	0.009938843962488288	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.009654159299704293	
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.009361101558603122	
k__Bacteria|p__Firmicutes|c__CFGB52309	2|1239|	0.009009432269281718	
k__Bacteria|p__Firmicutes|c__CFGB2983	2|1239|	0.008875463016206895	
k__Bacteria|p__Firmicutes|c__CFGB16911	2|1239|	0.006078854858270006	
k__Bacteria|p__Firmicutes|c__CFGB28775	2|1239|	0.00597837791846389	
k__Bacteria|p__Bacteroidota|c__CFGB1670	2|976|	0.0050573393035744955	
k__Bacteria|p__Firmicutes|c__CFGB1374	2|1239|	0.004973608520402732	
k__Bacteria|p__Firmicutes|c__CFGB1126	2|1239|	0.004948489285451204	
k__Bacteria|p__Firmicutes|c__CFGB1380	2|1239|	0.00438749303820039	
k__Bacteria|p__Firmicutes|c__CFGB77566	2|1239|	0.0035418121281655824	
k__Bacteria|p__Firmicutes|c__CFGB1298	2|1239|	0.0030478005074521795	
k__Bacteria|p__Firmicutes|c__CFGB1249	2|1239|	0.0022272388323689002	
k__Bacteria|p__Firmicutes|c__CFGB3047	2|1239|	0.0021100157359284317	
k__Bacteria|p__Firmicutes|c__CFGB4623	2|1239|	0.0011303655728188027	
k__Bacteria|p__Firmicutes|c__CFGB2918	2|1239|	0.0009294116932065712	
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata	2157|2283796|183967	0.0007954424401317501	
k__Bacteria|p__Firmicutes|c__CFGB3002	2|1239|	0.0006363539521054001	
k__Bacteria|p__Firmicutes|c__CFGB45503	2|1239|	0.0006279808737882237	
k__Bacteria|p__Firmicutes|c__CFGB45628	2|1239|	0.0003851616025901106	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	49.25295021204793	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	8.24224059539212	
