#mpa_vJun23_CHOCOPhlAnSGB_202403
#/usr/local/bin/metaphlan --input_type bowtie2out --index latest --bowtie2db metaphlan --nproc 1 --unclassified_estimation -o metaphlan_unknown_list.tsv /dev/fd/63
#60526495 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	17.82036	
k__Bacteria	2	82.16413078083086	
k__Eukaryota	2759	0.015507297705419799	
k__Bacteria|p__Bacteroidota	2|976	67.0068772438066	
k__Bacteria|p__Firmicutes	2|1239	12.451135580844728	
k__Bacteria|p__Proteobacteria	2|1224	2.625179230635995	
k__Bacteria|p__Verrucomicrobia	2|74201	0.035057833604303576	
k__Eukaryota|p__Eukaryota_unclassified	2759|	0.015507297705419799	
k__Bacteria|p__Actinobacteria	2|201174	0.012269419965125468	
k__Bacteria|p__Spirochaetes	2|203691	0.011858521774732787	
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.009294517066682455	
k__Bacteria|p__Lentisphaerae	2|256845	0.006672986611977147	
k__Bacteria|p__Bacteria_unclassified	2|	0.005785446520728955	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	65.34808124919134	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	9.447502680929457	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	1.6764235269831012	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.2594686972640314	
k__Bacteria|p__Bacteroidota|c__CFGB544	2|976|	1.1418285453546066	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.9336017783912115	
k__Bacteria|p__Firmicutes|c__CFGB1359	2|1239|	0.5784296005795856	
k__Bacteria|p__Bacteroidota|c__CFGB1458	2|976|	0.49610203915250783	
k__Bacteria|p__Firmicutes|c__CFGB4806	2|1239|	0.3421631411037937	
k__Bacteria|p__Firmicutes|c__CFGB1354	2|1239|	0.2647334861061968	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.15430870642006758	
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	0.11993296381181585	
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.07438900838869104	
k__Bacteria|p__Firmicutes|c__CFGB3062	2|1239|	0.06078006032288544	
k__Bacteria|p__Firmicutes|c__CFGB9989	2|1239|	0.04928312895569821	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.03518932102522924	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.035057833604303576	
k__Bacteria|p__Bacteroidota|c__CFGB602	2|976|	0.02085719214433251	
k__Bacteria|p__Firmicutes|c__CFGB9272	2|1239|	0.016000375533891015	
k__Bacteria|p__Firmicutes|c__CFGB79291	2|1239|	0.015515515669227651	
k__Eukaryota|p__Eukaryota_unclassified|c__Bigyra	2759||2683628	0.015507297705419799	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.015153925261682093	
k__Bacteria|p__Spirochaetes|c__CFGB8872	2|203691|	0.011858521774732787	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.01168594453476786	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified	2|95818|	0.009294517066682455	
k__Bacteria|p__Firmicutes|c__CFGB1473	2|1239|	0.007396167427068266	
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria	2|256845|1313211	0.006672986611977147	
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	0.006385357878702269	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2||	0.005785446520728955	
k__Bacteria|p__Firmicutes|c__CFGB1226	2|1239|	0.004158289686773936	
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	0.00398571244680901	
k__Bacteria|p__Firmicutes|c__CFGB1347	2|1239|	0.0026954921289759903	
k__Bacteria|p__Firmicutes|c__CFGB2954	2|1239|	0.0026215304547053076	
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.0023996454318932596	
k__Bacteria|p__Firmicutes|c__CFGB3047	2|1239|	0.001553195159684336	
k__Bacteria|p__Firmicutes|c__CFGB3072	2|1239|	0.0011012071502523864	
k__Bacteria|p__Firmicutes|c__CFGB10477	2|1239|	0.0008793221274403383	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.0005834754303576077	
k__Bacteria|p__Firmicutes|c__CFGB45503	2|1239|	0.00014792334854136534	
k__Bacteria|p__Firmicutes|c__CFGB3023	2|1239|	0.00013148742092565808	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	65.34808124919134	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	9.447502680929457	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	1.6666277141241397	
k__Bacteria|p__Bacteroidota|c__CFGB544|o__OFGB544	2|976||	1.1418285453546066	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	1.0199972319031767	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.9316623389325581	
k__Bacteria|p__Firmicutes|c__CFGB1359|o__OFGB1359	2|1239||	0.5784296005795856	
k__Bacteria|p__Bacteroidota|c__CFGB1458|o__OFGB1458	2|976||	0.49610203915250783	
k__Bacteria|p__Firmicutes|c__CFGB4806|o__OFGB4806	2|1239||	0.3421631411037937	
k__Bacteria|p__Firmicutes|c__CFGB1354|o__OFGB1354	2|1239||	0.2647334861061968	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.23947146536085473	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.15430870642006758	
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765	2|1239||	0.11993296381181585	
