#mpa_vJun23_CHOCOPhlAnSGB_202403
#/usr/local/bin/metaphlan --input_type bowtie2out --index latest --bowtie2db metaphlan --nproc 1 --unclassified_estimation -o metaphlan_unknown_list.tsv /dev/fd/63
#18465313 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	22.01133	
k__Bacteria	2	77.98867105133483	
k__Bacteria|p__Firmicutes	2|1239	50.422038891420826	
k__Bacteria|p__Bacteroidota	2|976	13.975663438804464	
k__Bacteria|p__Actinobacteria	2|201174	7.7978766490111315	
k__Bacteria|p__Verrucomicrobia	2|74201	4.436143787874923	
k__Bacteria|p__Proteobacteria	2|1224	1.3180631328372947	
k__Bacteria|p__Synergistetes	2|508458	0.03888515138619555	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	23.922603706173284	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	13.456204297532837	
k__Bacteria|p__Firmicutes|c__CFGB9119	2|1239|	7.810003887359613	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	6.75286745125877	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	4.4370016632564875	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	4.436143787874923	
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	4.316072429924287	
k__Bacteria|p__Firmicutes|c__CFGB75721	2|1239|	3.57506307193003	
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	1.1587790710820483	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	1.0491036029825562	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.045009197752361	
k__Bacteria|p__Firmicutes|c__CFGB3069	2|1239|	0.9079753038480607	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.6075551440912138	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.5629768197182707	
