#mpa_vJun23_CHOCOPhlAnSGB_202403
#/usr/local/bin/metaphlan --input_type bowtie2out --index latest --bowtie2db metaphlan --nproc 1 --unclassified_estimation -o metaphlan_unknown_list.tsv /dev/fd/63
#11291798 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	16.59057	
k__Bacteria	2	83.4094252489784	
k__Bacteria|p__Bacteroidota	2|976	40.954094524788594	
k__Bacteria|p__Firmicutes	2|1239	39.0467711976202	
k__Bacteria|p__Verrucomicrobia	2|74201	3.181560775754507	
k__Bacteria|p__Actinobacteria	2|201174	0.2269987508150947	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	40.954094524788594	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	22.0321826323914	
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	5.119512043874321	
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	3.829743760306843	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	3.181560775754507	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	2.217014182175321	
k__Bacteria|p__Firmicutes|c__CFGB3057	2|1239|	1.633398433708219	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.0451284393122242	
k__Bacteria|p__Firmicutes|c__CFGB3012	2|1239|	1.0236421713680874	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.4548149139976294	
k__Bacteria|p__Firmicutes|c__CFGB3069	2|1239|	0.4435212778189177	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.2269987508150947	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.21827412493405154	
k__Bacteria|p__Firmicutes|c__CFGB75721	2|1239|	0.2000324836321	
k__Bacteria|p__Firmicutes|c__CFGB82363	2|1239|	0.14735943158737014	
k__Bacteria|p__Firmicutes|c__CFGB72924	2|1239|	0.1375004375229409	
k__Bacteria|p__Firmicutes|c__CFGB3072	2|1239|	0.11900022700271747	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.11587237355588077	
k__Bacteria|p__Firmicutes|c__CFGB3038	2|1239|	0.08923140313135709	
k__Bacteria|p__Firmicutes|c__CFGB3023	2|1239|	0.07123164916262756	
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.03961947699326474	
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.037275672143768444	
k__Bacteria|p__Firmicutes|c__CFGB45628	2|1239|	0.017474274589660974	
k__Bacteria|p__Firmicutes|c__CFGB72939	2|1239|	0.01729911479663812	
k__Bacteria|p__Firmicutes|c__CFGB2917	2|1239|	0.015689312889332837	
k__Bacteria|p__Firmicutes|c__CFGB3009	2|1239|	0.009625447673732107	
k__Bacteria|p__Firmicutes|c__CFGB40333	2|1239|	0.009550379191008027	
k__Bacteria|p__Firmicutes|c__CFGB2875	2|1239|	0.0027858748033158785	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	40.954094524788594	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	21.917503013616578	
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765	2|1239||	5.119512043874321	
k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227	2|1239||	3.829743760306843	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	3.181560775754507	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	2.217014182175321	
k__Bacteria|p__Firmicutes|c__CFGB3057|o__OFGB3057	2|1239||	1.633398433708219	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	1.0451284393122242	
k__Bacteria|p__Firmicutes|c__CFGB3012|o__OFGB3012	2|1239||	1.0236421713680874	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.4548149139976294	
k__Bacteria|p__Firmicutes|c__CFGB3069|o__OFGB3069	2|1239||	0.4435212778189177	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.2269987508150947	
k__Bacteria|p__Firmicutes|c__CFGB1292|o__OFGB1292	2|1239||	0.21827412493405154	
k__Bacteria|p__Firmicutes|c__CFGB75721|o__OFGB75721	2|1239||	0.2000324836321	
k__Bacteria|p__Firmicutes|c__CFGB82363|o__OFGB82363	2|1239||	0.14735943158737014	
k__Bacteria|p__Firmicutes|c__CFGB72924|o__OFGB72924	2|1239||	0.1375004375229409	
k__Bacteria|p__Firmicutes|c__CFGB3072|o__OFGB3072	2|1239||	0.11900022700271747	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.11587237355588077	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.1146796187748204	
k__Bacteria|p__Firmicutes|c__CFGB3038|o__OFGB3038	2|1239||	0.08923140313135709	
k__Bacteria|p__Firmicutes|c__CFGB3023|o__OFGB3023	2|1239||	0.07123164916262756	
k__Bacteria|p__Firmicutes|c__CFGB1011|o__OFGB1011	2|1239||	0.03961947699326474	
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642	2|1239||	0.037275672143768444	
k__Bacteria|p__Firmicutes|c__CFGB45628|o__OFGB45628	2|1239||	0.017474274589660974	
k__Bacteria|p__Firmicutes|c__CFGB72939|o__OFGB72939	2|1239||	0.01729911479663812	
k__Bacteria|p__Firmicutes|c__CFGB2917|o__OFGB2917	2|1239||	0.015689312889332837	
k__Bacteria|p__Firmicutes|c__CFGB3009|o__OFGB3009	2|1239||	0.009625447673732107	
k__Bacteria|p__Firmicutes|c__CFGB40333|o__OFGB40333	2|1239||	0.009550379191008027	
k__Bacteria|p__Firmicutes|c__CFGB2875|o__OFGB2875	2|1239||	0.0027858748033158785	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	34.028343036205115	
