#mpa_vJun23_CHOCOPhlAnSGB_202403
#/usr/local/bin/metaphlan --input_type bowtie2out --index latest --bowtie2db metaphlan --nproc 1 --unclassified_estimation -o metaphlan_unknown_list.tsv /dev/fd/63
#81523830 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	20.03872	
k__Bacteria	2	79.96128345542793	
k__Bacteria|p__Bacteroidota	2|976	44.7410887614628	
k__Bacteria|p__Firmicutes	2|1239	28.200921363883925	
k__Bacteria|p__Actinobacteria	2|201174	4.7423517953028655	
k__Bacteria|p__Proteobacteria	2|1224	2.23283887920937	
k__Bacteria|p__Bacteria_unclassified	2|	0.042691329236852975	
k__Bacteria|p__Verrucomicrobia	2|74201	0.001391326332124446	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	44.7410887614628	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	26.479818706532605	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	3.2520573826456367	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	1.6285874523933916	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.490294412657229	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.9545778018908987	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.6042514268159779	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.4413702924172711	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.15315784233052665	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.13516655355305537	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2||	0.042691329236852975	
k__Bacteria|p__Firmicutes|c__CFGB3012	2|1239|	0.013457484005548522	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.010754792624755058	
k__Bacteria|p__Firmicutes|c__CFGB3002	2|1239|	0.005837173692246239	
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.003518296472038829	
k__Bacteria|p__Firmicutes|c__CFGB1872	2|1239|	0.0029105907177775768	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.001391326332124446	
k__Bacteria|p__Firmicutes|c__CFGB1217	2|1239|	0.00035182964720388294	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	44.7410887614628	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	26.394284121620334	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	3.1988991214044677	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	1.6285874523933916	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	1.4261014942992116	
